,Abbreviation,Bahrain Grand Prix_2021_GridPosition,Bahrain Grand Prix_2021_Position,Emilia Romagna Grand Prix_2021_GridPosition,Emilia Romagna Grand Prix_2021_Position,Portuguese Grand Prix_2021_GridPosition,Portuguese Grand Prix_2021_Position,Spanish Grand Prix_2021_GridPosition,Spanish Grand Prix_2021_Position,Monaco Grand Prix_2021_GridPosition,Monaco Grand Prix_2021_Position,Azerbaijan Grand Prix_2021_GridPosition,Azerbaijan Grand Prix_2021_Position,French Grand Prix_2021_GridPosition,French Grand Prix_2021_Position,Styrian Grand Prix_2021_GridPosition,Styrian Grand Prix_2021_Position,Austrian Grand Prix_2021_GridPosition,Austrian Grand Prix_2021_Position,British Grand Prix_2021_GridPosition,British Grand Prix_2021_Position
0,ALO,9.0,19.0,15.0,10.0,13.0,8.0,10.0,17.0,17.0,13.0,8.0,6.0,9.0,8.0,8.0,9.0,14.0,10.0,7.0,7.0
1,BOT,3.0,3.0,8.0,18.0,1.0,3.0,3.0,3.0,3.0,19.0,10.0,12.0,3.0,4.0,5.0,3.0,5.0,2.0,3.0,3.0
2,GAS,5.0,17.0,5.0,7.0,9.0,10.0,12.0,10.0,6.0,6.0,4.0,3.0,6.0,7.0,6.0,20.0,6.0,9.0,11.0,11.0
3,GIO,12.0,12.0,17.0,14.0,12.0,12.0,14.0,15.0,10.0,10.0,20.0,11.0,13.0,15.0,15.0,15.0,15.0,14.0,15.0,13.0
4,HAM,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,7.0,7.0,2.0,15.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,1.0
5,LAT,17.0,18.0,14.0,20.0,18.0,18.0,19.0,16.0,18.0,15.0,16.0,16.0,16.0,18.0,16.0,17.0,18.0,16.0,17.0,14.0
6,LEC,4.0,6.0,4.0,4.0,8.0,6.0,4.0,4.0,1.0,20.0,1.0,4.0,7.0,16.0,7.0,7.0,12.0,8.0,4.0,2.0
7,MAZ,19.0,20.0,19.0,17.0,20.0,19.0,20.0,19.0,19.0,17.0,18.0,14.0,18.0,20.0,20.0,18.0,20.0,19.0,19.0,17.0
8,MSC,18.0,16.0,18.0,16.0,19.0,17.0,18.0,18.0,20.0,18.0,17.0,13.0,15.0,19.0,19.0,16.0,19.0,18.0,18.0,18.0
9,NOR,7.0,4.0,7.0,3.0,7.0,5.0,9.0,8.0,5.0,3.0,9.0,5.0,8.0,5.0,3.0,5.0,2.0,3.0,5.0,4.0
10,OCO,16.0,13.0,9.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,12.0,20.0,11.0,14.0,17.0,14.0,17.0,20.0,9.0,9.0
11,PER,0.0,5.0,2.0,11.0,4.0,4.0,8.0,5.0,9.0,4.0,6.0,1.0,4.0,3.0,4.0,4.0,3.0,6.0,0.0,16.0
12,RAI,14.0,11.0,16.0,13.0,15.0,20.0,17.0,12.0,14.0,11.0,14.0,10.0,17.0,17.0,18.0,11.0,16.0,15.0,13.0,15.0
13,RIC,6.0,7.0,6.0,6.0,16.0,9.0,7.0,6.0,12.0,12.0,13.0,9.0,10.0,6.0,13.0,13.0,13.0,7.0,6.0,5.0
14,RUS,15.0,14.0,12.0,19.0,11.0,16.0,15.0,14.0,15.0,14.0,15.0,17.0,14.0,12.0,10.0,19.0,8.0,11.0,12.0,12.0
15,SAI,8.0,8.0,11.0,5.0,5.0,11.0,6.0,7.0,4.0,2.0,5.0,8.0,5.0,11.0,12.0,6.0,10.0,5.0,10.0,6.0
16,STR,10.0,10.0,10.0,8.0,17.0,14.0,11.0,11.0,13.0,8.0,19.0,19.0,19.0,10.0,9.0,8.0,9.0,13.0,14.0,8.0
17,TSU,13.0,9.0,20.0,12.0,14.0,15.0,16.0,20.0,16.0,16.0,7.0,7.0,0.0,13.0,11.0,10.0,7.0,12.0,16.0,10.0
18,VER,1.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0
19,VET,20.0,15.0,0.0,15.0,10.0,13.0,13.0,13.0,8.0,5.0,11.0,2.0,12.0,9.0,14.0,12.0,11.0,17.0,8.0,19.0
