,Abbreviation,Bahrain Grand Prix_2021_Position,Emilia Romagna Grand Prix_2021_Position,Portuguese Grand Prix_2021_Position,Spanish Grand Prix_2021_Position,Monaco Grand Prix_2021_Position,Azerbaijan Grand Prix_2021_Position,French Grand Prix_2021_Position,Styrian Grand Prix_2021_Position,Austrian Grand Prix_2021_Position,British Grand Prix_2021_Position
0,ALO,19.0,10.0,8.0,17.0,13.0,6.0,8.0,9.0,10.0,7.0
1,BOT,3.0,18.0,3.0,3.0,19.0,12.0,4.0,3.0,2.0,3.0
2,GAS,17.0,7.0,10.0,10.0,6.0,3.0,7.0,20.0,9.0,11.0
3,GIO,12.0,14.0,12.0,15.0,10.0,11.0,15.0,15.0,14.0,13.0
4,HAM,1.0,2.0,1.0,1.0,7.0,15.0,2.0,2.0,4.0,1.0
5,LAT,18.0,20.0,18.0,16.0,15.0,16.0,18.0,17.0,16.0,14.0
6,LEC,6.0,4.0,6.0,4.0,20.0,4.0,16.0,7.0,8.0,2.0
7,MAZ,20.0,17.0,19.0,19.0,17.0,14.0,20.0,18.0,19.0,17.0
8,MSC,16.0,16.0,17.0,18.0,18.0,13.0,19.0,16.0,18.0,18.0
9,NOR,4.0,3.0,5.0,8.0,3.0,5.0,5.0,5.0,3.0,4.0
10,OCO,13.0,9.0,7.0,9.0,9.0,20.0,14.0,14.0,20.0,9.0
11,PER,5.0,11.0,4.0,5.0,4.0,1.0,3.0,4.0,6.0,16.0
12,RAI,11.0,13.0,20.0,12.0,11.0,10.0,17.0,11.0,15.0,15.0
13,RIC,7.0,6.0,9.0,6.0,12.0,9.0,6.0,13.0,7.0,5.0
14,RUS,14.0,19.0,16.0,14.0,14.0,17.0,12.0,19.0,11.0,12.0
15,SAI,8.0,5.0,11.0,7.0,2.0,8.0,11.0,6.0,5.0,6.0
16,STR,10.0,8.0,14.0,11.0,8.0,19.0,10.0,8.0,13.0,8.0
17,TSU,9.0,12.0,15.0,20.0,16.0,7.0,13.0,10.0,12.0,10.0
18,VER,2.0,1.0,2.0,2.0,1.0,18.0,1.0,1.0,1.0,20.0
19,VET,15.0,15.0,13.0,13.0,5.0,2.0,9.0,12.0,17.0,19.0
